drug,name,reg_num,trade_mark,,comment_refs
Abemaciclib,Абемациклиб,ЛП-005715,Зенлистик,,
Abiraterone,Абиратерон,ЛП 001632,Зитига,,
Acalabrutinib,Акалабрутиниб,ЛП-006172,Калквенс,,
Acitretin,Ацитретин,П N016163/01,Неотигазон,,
Adagrasib,Адаграсиб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216340s000lbl.pdf
Ado-Trastuzumab Emtansine,Трастузумаб Эмтанзин,ЛП-002692,Кадсила,,
Afatinib,Афатиниб,ЛП-002275,Гиотриф,,
Aflibercept,Афлиберцепт,ЛП-003544,Эйлеа,,
Alectinib,Алектиниб,ЛП-№(000150)-(РГ-RU),Алеценза,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208434s003lbl.pdf
Alemtuzumab,Алемтузумаб,ЛП-003714,Лемтрада,,
Alitretinoin,Алитретиноин,,Токтино,,
Alpelisib,Алпелисиб,ЛП-006279,Пикрэй,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212526s000lbl.pdf
Amivantamab,Амивантамаб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761210s000lbl.pdf
Anastrozole,Анастрозол,П N013285/01,Аримидекс,,
Apalutamide,Апалутамид,ЛП-005797,Эрлеада,,
Arsenic trioxide,Триоксид мышьяка,,Тризенокс,,
Axitinib,Акситиниб,ЛП-002115,Инлита,,
Belinostat,Белиностат,,Белеодак,,
Bendamustine,Бендамустин,ЛСР-006546/10,Рибомустин,,
Bevacizumab,Бевацизумаб,ЛС-000533,Авастин,,
Bexarotene,Бексаротин,,Таргретин,,
Bicalutamide,Бикалутамид,П N013043/01,Касодекс,,
Binimetinib,Биниметиниб,,Мектови,,
Blinatumomab,Блинатумомаб,ЛП-004035,Блинцито,,
Bortezomib,Бортезомиб,ЛС-000654,Велкейд,,
Bosutinib,Босутиниб,ЛП-002711,Бозулиф,,
Brentuximab vedotin,Брентуксимаб ведотин,ЛП-003476,Адцетрис,,
Brigatinib,Бригатиниб,,"Алунбриг, Аланбриг",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208772lbl.pdf
Buserelin,Бусерелин,ЛСР-003576/10,Бусерелин,,
Cabazitaxel,Кабазитаксел,ЛП-001500,Джевтана,,
Cabozantinib,Кабозантиниб,ЛП-005558,Кабометикс,,
Capivasertib,Капивасертиб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/218197s000lbl.pdf
Capmatinib,Капматиниб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213591s002lbl.pdf
Carfilzomib,Карфилзомиб,ЛП-003538,Кипролис,,
Carmustine,Кармустин,П N015891/01,БиКНУ,,
Ceritinib,Церитиниб,ЛП-004766,Зикадия,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/205755s009lbl.pdf
Cetuximab,Цетуксимаб,ЛСР-002745/09,Эрбитукс,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/125147s207lbl.pdf
Claudiximab,Клаудиксимаб,,,,
Cobimetinib,Кобиметиниб,ЛП-003464,Котеллик,,
Copanlisib,Копанлисиб,,Аликопа,,
Crizotinib,Кризотиниб,ЛП-001917,Ксалкори,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/202570s021lbl.pdf
Cyproterone acetate,Ципротерона ацетат,П N008697,Андрокур,,
Dabrafenib,Дабрафениб,ЛП-002274,Тафинлар,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/202806s010lbl.pdf
Dacomitinib,Дакомитиниб,,Визимпро,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206995s003lbl.pdf
Daratumumab,Даратумумаб,ЛП-004367,Дарзалекс,,
Dasatinib,Дасатиниб,ЛСР-000256/08,Спрайсел,,
Degarelix,Дегареликс,ЛСР-007449/10,Фирмагон,,
Denosumab,Деносумаб,ЛП-000850,Пролиа,,
Dienogest,Диеногест,ЛП-005969,Зафрилла,,
Docetaxel,Доцетаксел,П N013044/01,Таксотер,,
Dovitinib,Довитиниб,,,,
Duvelisib,Дувелисиб,ЛП-006862,Копиктра,,
Elacestrant,Элацестрант,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217639s000lbl.pdf
Elotuzumab,Элотузумаб,ЛП-004241,Эмплисити,,
Enasidenib,Энасидениб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209606s000lbl.pdf
Encorafenib,Энкорафениб,,Брафтови,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210496lbl.pdf
Enfortumab vedotin,Энфортумаб ведотин,,Падцев,,
Entrectinib,Энтректиниб,ЛП-№(001399)-(РГ-RU),Розлитрек,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212725s000lbl.pdf
Enzalutamide,Энзалутамид,ЛП-003605,Кстанди,,
Erdafitinib,Эрдафитиниб,,Балверса,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212018s000lbl.pdf
Eribulin,Эрибулин,ЛП-001782,Халавен,,
Erlotinib,Эрлотиниб,ЛС-001443,Тарцева,,
Estramustine,Эстрамустин,,Эстрацит,,
Ethinylestradiol,Этинилэстрадиол,,Этинилэстрадиол,,
Everolimus,Эверолимус,ЛП-001690,Афинитор,,
Exemestane,Экземестан,П N011835/01,Аромазин,,
Fam-trastuzumab deruxtecan-nxki,Трастузумаб дерукстекан,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761139s011lbl.pdf
Flavopiridol,Флавопиридол,,,,
Fluoxymesterone,Флюоксиместерон,,,,
Flutamide,Флутамид,ЛП-004983,Апрокан,,
Foretinib,Форетиниб,,,,
Fruquintinib,Фрукинтиниб,,,,
Fulvestrant,Фулвестрант,ЛС-000855,Фазлодекс,,
Ganetespib,Ганетеспиб,,,,
Gefitinib,Гефитиниб,П N016075/01,Иресса,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/206995s003lbl.pdf
Gemtuzumab,Гемтузумаб,,Милотарг,,
Gilteritinib,Гилтеритиниб,ЛП-007562,Ксоспата,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211349s001lbl.pdf
Glasdegib,Гласдегиб,,Даурисмо,,
Goserelin,Гозерелин,П N013307/01,Золадекс,,
Histrelin,Гистрелин,,,,
Ibritumomab tiuxetan,Ибритумомаб тиуксетан,,,,
Ibrutinib,Ибрутиниб,ЛП-002811,Имбрувика,,
Idelalisib,Иделалисиб,,Зиделиг,,
Imatinib,Иматиниб,П N013241/01,Гливек,,
Inavolisib,Инаволисиб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/219249s001lbl.pdf
Infigratinib,Инфигратиниб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214622s000lbl.pdf
Inotuzumab ozogamicin,Инотузумаб озогамицин,ЛП-005883,Биспонса,,
Ivosidenib,Ивозидениб,,Тибсово,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211192s001lbl.pdf
Ixabepilone,Иксабепилон,ЛП-000585,Икземпра,,
Ixazomib,Иксазомиб,ЛП-004500,Нинларо,,
Lapatinib,Лапатиниб,ЛСР-000782/08,Тайверб,,
Larotrectinib,Ларотректиниб,ЛП-008232,Витракви,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/211710s000lbl.pdf
Lenalidomide,Леналидомид,ЛСР-003870/09,Ревлимид,,
Lenvatinib,Ленватиниб,ЛП-003398,Ленвима,,
Letrozole,Летрозол,П N015738/01,Фемара,,
Leuprolide,Лейпролид,ЛСР-006156/09,Элигард,,
Levonorgestrel,Левоноргестрел,П N014834/01,Мирена,,
Lomustine,Ломустин,П N016023/01,Ломустин,,
Lorlatinib,Лорлатиниб,ЛП-007198,Лорвиква,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210868s000lbl.pdf
Masitinib,Мазитиниб,,,,
Medroxyprogesterone acetate,Медроксипрогестерона ацетат,П N011853/01,Провера,,
Megestrol,Мегестрол,П N013296/01,Мегейс,,
Methyltestosterone,Метилтестостерон,,,,
Midostaurin,Мидостаурин,ЛП-005927,Митикайд,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/207997s000lbl.pdf
Mirvetuximab soravtansine-gynx,Мирветуксимаб соравтанзин,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761310s000lbl.pdf
Mitotane,Митотан,ЛП-004684,Митотан,,
Mobocertinib,Мобосертиниб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215310s000lbl.pdf
Mogamulizumab,Могамулизумаб,,Потилигио,,
Momelotinib,Момелотиниб,,Момелотиниб,,
Moxetumomab pasudotox,Моксетумомаб пасудотокс,,,,
Napabucasin,Напабукасин,,,,
Necitumumab,Нецитумумаб,,,,
Nilotinib,Нилотиниб,ЛСР-000830/08,Тасигна,,
Nilutamide,Нилутамид,,,,
Nimotuzumab,Нимотузумаб,,,,
Nintedanib,Нинтеданиб,ЛП-002830,Варгатеф,,
Niraparib,Нирапариб,,,,
Obinutuzumab,Обинутузумаб,ЛП-002867,Газива,,
Ofatumumab,Офатумумаб,,Бонспри,,
Olaparib,Олапариб,ЛП-003716,Линпарза,,
Omacetaxine mepesuccinate,Гомохаррингтонин (Омацетаксин мепесукцинат),,,,
Osimertinib,Осимертиниб,ЛП-004492,Тагриссо,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/208065s008lbl.pdf
Paclitaxel,Паклитаксел,П N013329/01,Таксол,,
Palbociclib,Палбоциклиб,ЛП-003878,Ибранса,,
Panitumumab,Панитумумаб,ЛСР-007740/09,Вектибикс,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/125147s207lbl.pdf
Panobinostat,Панобиностат,,,,
Pazopanib,Пазопаниб,ЛСР-008805/10,Вотриент,,
Pemigatinib,Пемигатиниб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213736s000lbl.pdf
Perifosine,Перифосин,,,,
Pertuzumab,Пертузумаб,ЛП-002034,Перьета,,
Pomalidomide,Помалидомид,ЛП-002985,Имновид,,
Ponatinib,Понатиниб,,,,
Pralsetinib,Пралсетиниб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/214701s000lbl.pdf
Ramucirumab,Рамуцирумаб,ЛП-004518,Цирамза,,
Regorafenib,Регорафениб,ЛП-003405,Стиварга,,
Ribociclib,Рибоциклиб,ЛП-004670,Рисарг,,
Rigosertib,Ригосертиб,,,,
Rituximab,Ритуксимаб,ЛП-002575,Мабтера,,
Romidepsin,Ромидепсин,,,,
Rucaparib,Рукапариб,,,,
Ruxolitinib,Руксолитиниб,ЛП-002028,Джакави,,
Sacituzumab govitecan-hziy,Сацитузумаб говитекан,,,,
Selpercatinib,Селперкатиниб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213246s008lbl.pdf
Selumetinib,Селуметиниб,ЛП-007563,Коселуго,,
Siltuximab,Силтуксимаб,,,,
Sirolimus,Сиролимус,ЛСР-002186/09,Рапамун,,
Sonidegib,Сонидегиб,,,,
Sorafenib,Сорафениб,ЛСР-000093,Нексавар,,
Sotorasib,Соторасиб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214665s000lbl.pdf
Sunitinib,Сунитиниб,ЛСР-002516/07,Сутент,,
Talazoparib,Талазопариб,ЛП-006116,Талценна,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/211651s000lbl.pdf
Tamoxifen,Тамоксифен,П N008975,Тамоксифен,,
Tecemotide,Тецемотид,,,,
Temozolomide,Темозоломид,ЛП-000847,Темодал,,
Temsirolimus,Темсиролимус,ЛСР-001305/10,Торизел,,
Thalidomide,Талидомид,,,,
Tivantinib,Тивантиниб,,,,
Tivozanib,Тивозаниб,,,,
Tocilizumab,Тоцилизумаб,ЛСР-003012/09,Актемра,,
Toremifene,Торемифен,П N014925/01,Фарестон,,
Tovorafenib,Товорафениб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218033s000lbl.pdf
Trametinib,Траметиниб,ЛП-002945,Мекинист,,
Trastuzumab,Трастузумаб,П N012038/01,Герцептин,,
Trebananib,Требананиб,,,,
Tretinoin,Третиноин,П N014774/01,Весаноид,,
Triptorelin,Трипторелин,П N011452/01,Диферелин,,
Vandetanib,Вандетаниб,ЛП-002238,Капрелса,,
Veliparib,Велипариб,,,,
Vemurafenib,Вемурафениб,ЛП-002271,Зелбораф,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/202429s012lbl.pdf
Venetoclax,Венетоклакс,ЛП-004678,Венклекста,,
Vinblastine,Винбластин,Р N000203/01,Винбластин,,
Vincristine,Винкристин,П N015355/01,Винкристин,,
Vindesine,Виндезин,,,,
Vinorelbine,Винорелбин,ЛС-000704,Навельбин,,
Vismodegib,Висмодегиб,ЛП-002252,Эриведж,,
Vorasidenib,Воразидениб,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218784s000lbl.pdf
Vorinostat,Вориностат,ЛП-001458,Золинза,,
Zolbetuximab,Золбетуксимаб,,,,
